feature,importance
OverallQual,0.30372868973138445
GrLivArea,0.11664296346807732
TotalBsmtSF,0.060280716898871496
GarageArea,0.05984690321661626
LotArea,0.058102990276480714
1stFlrSF,0.056591809365556626
2ndFlrSF,0.053575176645852575
TotRmsAbvGrd,0.0448403242186525
YearBuilt,0.03799297814695851
WoodDeckSF,0.03779780269510046
OpenPorchSF,0.03421204424536674
YearRemodAdd,0.03183843575070148
Neighborhood,0.01699158537285067
BedroomAbvGr,0.013309729312853463
OverallCond,0.011225613360364015
FullBath,0.009494494987312696
GarageCars,0.00849664813544806
Fireplaces,0.0064339416816562725
GarageType,0.0062186609880692046
KitchenQual,0.006165646081759553
MSZoning,0.00511694719319302
MSSubClass,0.00478914238183884
HalfBath,0.004710264003480127
ExterQual,0.003687823542442205
HeatingQC,0.0034284874190983745
HouseStyle,0.0023156635654419107
CentralAir,0.0013861333180798946
KitchenAbvGr,0.0007783839964924725
