feature,importance
QualityArea,0.37634657020744133
TotalSF,0.09226196467655741
TotalBsmtSF,0.053356478790466684
LotArea,0.04613948218394075
GarageScore,0.041721029298439245
HouseAge,0.037647600569275824
1stFlrSF,0.033015329816844095
GarageArea,0.0318675724100214
GrLivArea,0.029977357783132163
WoodDeckSF,0.027105293777312495
YearsSinceRemod,0.021130137530873602
OpenPorchSF,0.021057212732772407
OverallQual,0.020094864206512526
2ndFlrSF,0.01953534776929162
YearBuilt,0.01926251684909543
TotRmsAbvGrd,0.01719203671641093
YearRemodAdd,0.01651467529328708
BedroomAbvGr,0.013239888921857788
Neighborhood,0.011439608133031883
FullBath,0.00962430606720666
ExterQual,0.008053219790649182
KitchenQual,0.007918974198052419
MSZoning,0.007528971602120759
OverallCond,0.007347393473102404
TotalBathrooms,0.007062509710432594
YrSold,0.004759515618240647
GarageType,0.003168070604392761
MSSubClass,0.0028847861535659285
Fireplaces,0.0028173088853620165
HeatingQC,0.0026833266899061836
KitchenAbvGr,0.0018235591835408177
HouseStyle,0.0016050759983112766
HalfBath,0.0012997693229858018
HasFireplace,0.001175789728515815
GarageCars,0.0007120494173045807
CentralAir,0.0006304058897455701
Has2ndFloor,0.0
HasBasement,0.0
HasGarage,0.0
